ElectoralDistrictName,NDP,BQ,Conservative,Liberal,Green,PPC
Rivière-des-Mille-Îles,7.2,40.6,10.3,35.3,1.8,2.8
Rivière-du-Nord,6.9,52.2,11.9,22.3,0,3.8
Rosemont--La Petite-Patrie,48.6,21.4,4,23.2,2.4,0
Saint-Hyacinthe--Bagot,11.6,47.5,13.5,22.7,0,2.7
Saint-Jean,7.3,46,12.7,28.1,2.1,0
Saint-Laurent,10.9,8,18.5,59.1,0,3.2
Saint-Léonard--Saint-Michel,8.3,8.1,10.5,69.4,0,3.7
Saint-Maurice--Champlain,5.1,30.1,18,42.4,1.3,0
Salaberry--Suroît,7.4,47.8,12.3,27.2,0,3.6
Shefford,5.3,41.9,12.1,33.5,1.8,3.5
Sherbrooke,13.9,29,12.9,37.5,2.9,2.5
Terrebonne,6.6,41.2,10.5,29.6,1.4,2.7
Thérèse-De Blainville,7.3,41.2,11,35.2,1.9,2.7
Trois-Rivières,8.1,29.5,29.3,28.6,1.3,1.9
Vaudreuil--Soulanges,10.5,22.2,16.3,46.5,2.5,0
Ville-Marie--Le Sud-Ouest--Île-des-Soeurs,18.7,12.5,12.4,50.5,2.7,2.6
Vimy,9.3,23.2,13.4,49.8,0,4.3
Ajax,14,0,26.6,56.8,2.5,0
Algoma--Manitoulin--Kapuskasing,40.2,0,27.5,22.5,1.8,7.2
Aurora--Oak Ridges--Richmond Hill,7.8,0,42.1,45.2,0,3.8
Barrie--Innisfil,15.8,0,47.7,28.9,0,7.7
Barrie--Springwater--Oro-Medonte,17.1,0,45.1,30.9,0,6.9
Bay of Quinte/Baie de Quinte,15,0,41.3,36.5,2.2,4.9
Beaches--East York,22.5,0,14.4,56.6,2.7,3.2
Brampton Centre/Brampton-Centre,17.5,0,32.5,47.7,0,0
Brampton East/Brampton-Est,15.7,0,28.2,53.5,0,2.6
Brampton North/Brampton-Nord,14.9,0,30.8,54.3,0,0
Brampton South/Brampton-Sud,14.2,0,30.4,51,0,4.4
Brampton West/Brampton-Ouest,13.1,0,28.3,55.3,0,2.6
Brantford--Brant,19.6,0,40.3,28.4,2.7,8.5
Bruce--Grey--Owen Sound,13.6,0,49.2,25.2,3.1,8
Burlington,10.9,0,37.3,45.7,2,4
Cambridge,17,0,34.4,38,3.4,7.2
Carleton,11.5,0,49.9,34.3,1.9,2.4
Chatham-Kent--Leamington,14.6,0,40.9,28.6,1.5,14.4
Davenport,42,0,10.1,42.1,2.3,3.2
Don Valley East/Don Valley-Est,12.4,0,23.5,59.9,0,4.2
Don Valley North/Don Valley-Nord,10.6,0,29.8,54.4,1.9,3.2
Don Valley West/Don Valley-Ouest,8.1,0,35.5,52.7,1.6,1.9
Dufferin--Caledon,10.5,0,48,30.3,4.2,6.7
Durham,17.5,0,46.4,29.9,0,5.5
Eglinton--Lawrence,9.2,0,36.4,48.5,3,2.9
Elgin--Middlesex--London,16,0,49.9,19.5,2.2,11.8
Essex,31.8,0,41.1,15.5,1.2,9.9
Etobicoke Centre/Etobicoke-Centre,10.1,0,34.9,48,0,7
Etobicoke North/Etobicoke-Nord,10.4,0,24.9,59.6,0,4.1
Etobicoke--Lakeshore,13.7,0,31.9,47.4,2.1,4.5
Flamborough--Glanbrook,15.7,0,40.6,35.5,2.1,6.1
Glengarry--Prescott--Russell,10.7,0,33.3,46.1,2,6.8
Guelph,21.1,0,24.1,42.1,7.5,4.6
Haldimand--Norfolk,13.3,0,47.4,27.5,0,10.5
Haliburton--Kawartha Lakes--Brock,14.4,0,52.3,23.1,2.5,7
Hamilton Centre/Hamilton-Centre,48.7,0,15,26.5,2.7,6.4
